"Age","Region","YearsExperience","YearsCurrentJob","JobDescription","JobType","Happiness","Income","Gender","SwitchedJobsLast6Months"
"27 - 30","CABA","8 - 10","1 - 2","Tech Lead","Full-Time",2,41142.8571428571,"M",0
"37 - 40","CABA","10+","10+","Full Stack Developer","Full-Time",3,37142.8571428571,"M",0
"24 - 26","CABA","3 - 5","3 - 4","Developer","Full-Time",2,28571.4285714286,"M",0
"27 - 30","CABA","3 - 5","3 - 4","Developer","Full-Time",2,23892.8571428571,"M",0
"24 - 26","CABA","3 - 5","1 - 2","Developer","Full-Time",3,25714.2857142857,"F",0
"31 - 33","CABA","10+","1 - 2","SysAdmin / DevOps","Full-Time",2,34285.7142857143,"M",0
"31 - 33","CABA","10+","Menos de un año","Consultor","Full-Time",3,30000,"M",1
"21 - 23","Cordoba","3 - 5","2 - 3","FrontEnd Developer","Full-Time",4,26812.8571428571,"M",0
"27 - 30","GBA","8 - 10","5 - 6","PM","Full-Time",4,42000,"M",0
"27 - 30","CABA","8 - 10","1 - 2","Developer","Full-Time",4,24000,"M",0
"21 - 23","CABA","3 - 5","Menos de un año","Designer","Full-Time",4,20000,"M",0
"34 - 36","CABA","5 - 7","4 - 5","SysAdmin / DevOps","Full-Time",4,25714.2857142857,"M",0
"27 - 30","Cordoba","Menos de un año","Menos de un año","HelpDesk","Full-Time",2,13571.4285714286,"M",0
"24 - 26","GBA","3 - 5","Menos de un año","HelpDesk","Full-Time",3,18000,"M",0
"31 - 33","CABA","Menos de un año","5 - 6","Developer","Full-Time",3,35000,"M",0
"31 - 33","CABA","3 - 5","2 - 3","Networking","Full-Time",3,23571.4285714286,"M",0
"27 - 30","CABA","3 - 5","1 - 2","QA / Tester","Full-Time",2,20000,"M",1
"27 - 30","CABA","8 - 10","Menos de un año","QA / Tester","Full-Time",2,29642.8571428571,"M",1
"31 - 33","CABA","5 - 7","2 - 3","HelpDesk","Part-Time",2,15714.2857142857,"M",0
"24 - 26","CABA","1 - 2","1 - 2","Developer Y SysAdmin/DevOps","Full-Time",4,31428.5714285714,"M",0
"34 - 36","CABA","10+","10+","Networking","Full-Time",4,85714.2857142857,"M",0
"27 - 30","CABA","8 - 10","1 - 2","SysAdmin / DevOps","Part-Time",1,10800,"M",0
"24 - 26","GBA","5 - 7","1 - 2","Developer","Full-Time",3,20714.2857142857,"M",0
"27 - 30","CABA","10+","4 - 5","SysAdmin / DevOps","Full-Time",4,22857.1428571429,"M",0
"41 - 45","Rio Negro","10+","5 - 6","PM","Freelance",2,22857.1428571429,"M",0
"31 - 33","CABA","8 - 10","6 - 7","Networking","Full-Time",3,35714.2857142857,"M",0
"27 - 30","Santa Fe","1 - 2","1 - 2","Developer","Full-Time",4,17857.1428571429,"M",0
"34 - 36","Cordoba","10+","3 - 4","Developer","Full-Time",4,44285.7142857143,"M",0
"27 - 30","GBA","3 - 5","3 - 4","HelpDesk","Full-Time",2,17571.4285714286,"M",0
"27 - 30","CABA","3 - 5","4 - 5","Developer","Full-Time",2,31428.5714285714,"M",0
"41 - 45","CABA","10+","8 - 9","Director","Full-Time",3,52250,"F",0
"24 - 26","CABA","1 - 2","Menos de un año","HelpDesk","Full-Time",3,18500,"M",0
"27 - 30","CABA","8 - 10","1 - 2","Networking","Full-Time",4,38571.4285714286,"M",0
"34 - 36","CABA","10+","3 - 4","Developer","Full-Time",4,35714.2857142857,"F",0
"37 - 40","CABA","10+","Menos de un año","QA / Tester","Full-Time",2,25000,"M",1
"24 - 26","GBA","5 - 7","6 - 7","Infosec","Full-Time",2,14000,"M",0
"21 - 23","Santa Fe","1 - 2","1 - 2","Developer","Full-Time",2,10600,"M",0
"27 - 30","CABA","3 - 5","1 - 2","Developer","Full-Time",4,22857.1428571429,"M",0
"24 - 26","CABA","3 - 5","1 - 2","SysAdmin / DevOps","Full-Time",1,10000,"M",0
"27 - 30","CABA","3 - 5","1 - 2","QA / Tester","Full-Time",3,22000,"M",0
"31 - 33","Cordoba","8 - 10","3 - 4","SysAdmin / DevOps","Full-Time",2,12500,"M",0
"21 - 23","CABA","3 - 5","1 - 2","Developer","Part-Time",4,26700,"M",0
"27 - 30","CABA","5 - 7","1 - 2","Developer","Full-Time",4,35714.2857142857,"M",0
"31 - 33","CABA","5 - 7","2 - 3","SysAdmin / DevOps","Full-Time",3,28571.4285714286,"M",0
"27 - 30","CABA","5 - 7","1 - 2","Developer","Full-Time",4,34285.7142857143,"M",0
"34 - 36","CABA","3 - 5","1 - 2","Developer","Full-Time",1,26428.5714285714,"M",0
"27 - 30","CABA","10+","7 - 8","DBA","Full-Time",3,21878,"M",0
"27 - 30","CABA","5 - 7","3 - 4","Analista Programador","Full-Time",2,28571.4285714286,"M",0
"31 - 33","Santa Fe","10+","1 - 2","DBA","Freelance",3,25000,"M",0
"27 - 30","CABA","10+","4 - 5","Networking","Full-Time",2,24000,"M",0
"46 - 49","GBA","10+","7 - 8","DBA","Full-Time",5,40000,"M",0
"24 - 26","CABA","1 - 2","1 - 2","Developer","Full-Time",2,15000,"M",0
"27 - 30","CABA","5 - 7","5 - 6","Developer","Full-Time",3,24285.7142857143,"M",0
"34 - 36","CABA","10+","6 - 7","Infosec","Full-Time",3,36000,"M",0
"24 - 26","CABA","5 - 7","4 - 5","Developer","Part-Time",2,17142.8571428571,"M",0
"27 - 30","Entre Rios","3 - 5","2 - 3","HelpDesk","Full-Time",3,19285.7142857143,"M",0
"31 - 33","Santa Fe","8 - 10","8 - 9","SysAdmin / DevOps","Full-Time",2,37142.8571428571,"M",0
"37 - 40","Cordoba","10+","2 - 3","SysAdmin / DevOps","Full-Time",3,32000,"M",0
"34 - 36","CABA","8 - 10","2 - 3","SysAdmin / DevOps","Full-Time",2,30000,"M",0
"27 - 30","CABA","5 - 7","2 - 3","Developer","Full-Time",4,27000,"F",1
"21 - 23","CABA","1 - 2","1 - 2","HelpDesk","Full-Time",3,15142.8571428571,"M",0
"41 - 45","CABA","10+","5 - 6","Infosec","Full-Time",3,1e+05,"M",0
"24 - 26","GBA","3 - 5","1 - 2","Developer","Full-Time",3,24285.7142857143,"M",0
"24 - 26","CABA","1 - 2","1 - 2","Infosec","Full-Time",2,22285.7142857143,"M",0
"24 - 26","CABA","1 - 2","Menos de un año","Developer","Part-Time",4,12000,"M",0
"27 - 30","GBA","3 - 5","2 - 3","Networking","Full-Time",3,17571.4285714286,"M",0
"27 - 30","GBA","5 - 7","1 - 2","SysAdmin / DevOps","Full-Time",4,27142.8571428571,"M",0
"37 - 40","CABA","10+","9 - 10","SysAdmin / DevOps","Full-Time",2,28571.4285714286,"M",0
"37 - 40","Jujuy","10+","4 - 5","SysAdmin / DevOps","Full-Time",2,21428.5714285714,"M",0
"24 - 26","GBA","5 - 7","Menos de un año","Developer","Freelance",5,40000,"M",0
"34 - 36","Cordoba","10+","4 - 5","Developer","Full-Time",2,29285.7142857143,"M",0
"27 - 30","CABA","5 - 7","2 - 3","QA / Tester","Full-Time",2,22857.1428571429,"M",0
"27 - 30","GBA","5 - 7","6 - 7","Developer","Full-Time",4,20142.8571428571,"M",0
"27 - 30","CABA","8 - 10","2 - 3","SysAdmin / DevOps","Full-Time",3,25321.4285714286,"M",0
"37 - 40","Santa Fe","8 - 10","3 - 4","SysAdmin / DevOps","Full-Time",2,21428.5714285714,"M",0
"34 - 36","CABA","10+","1 - 2","Architect","Full-Time",4,44285.7142857143,"M",0
"27 - 30","CABA","8 - 10","3 - 4","Developer","Full-Time",3,35000,"F",0
"24 - 26","CABA","5 - 7","3 - 4","DBA","Full-Time",4,32000,"M",0
"24 - 26","GBA","3 - 5","Menos de un año","Developer","Full-Time",4,27857.1428571429,"M",1
