"Age","Region","YearsExperience","YearsCurrentJob","JobDescription","JobType","Happiness","Income","Gender","SwitchedJobsLast6Months"
"27 - 30","Santa Fe","5 - 7","Menos de un año","Developer","Full-Time",3,27857.1428571429,"M",0
"37 - 40","GBA","8 - 10","3 - 4","Storage / Backup","Full-Time",3,35714.2857142857,"M",0
"37 - 40","GBA","10+","10+","Jefe de sistemas ","Full-Time",4,57142.8571428571,"M",0
"24 - 26","CABA","1 - 2","1 - 2","Developer","Full-Time",3,17000,"M",0
"24 - 26","CABA","3 - 5","1 - 2","Developer","Full-Time",2,17142.8571428571,"M",0
"21 - 23","GBA","8 - 10","Menos de un año","SysAdmin / DevOps","Full-Time",4,20714.2857142857,"M",0
"24 - 26","CABA","Menos de un año","Menos de un año","QA / Tester","Full-Time",2,11857.1428571429,"M",1
"27 - 30","GBA","8 - 10","1 - 2","PM","Full-Time",1,13857.1428571429,"F",0
"34 - 36","CABA","5 - 7","1 - 2","SysAdmin / DevOps","Freelance",4,17142.8571428571,"M",0
"24 - 26","CABA","1 - 2","1 - 2","Analista","Part-Time",4,10000,"M",0
"21 - 23","GBA","1 - 2","1 - 2","Developer","Part-Time",4,11428.5714285714,"M",0
"37 - 40","Cordoba","10+","10+","Developer","Remoto (empresa de otro país)",2,21000,"F",0
"27 - 30","CABA","5 - 7","1 - 2","SysAdmin / DevOps","Full-Time",3,21428.5714285714,"M",0
"50+","CABA","10+","10+","SysAdmin / DevOps","Freelance",1,25714.2857142857,"M",0
"31 - 33","CABA","8 - 10","5 - 6","SysAdmin / DevOps","Full-Time",3,40000,"M",0
"24 - 26","Santa Fe","3 - 5","2 - 3","Soporte","Full-Time",4,17142.8571428571,"M",0
"27 - 30","CABA","5 - 7","1 - 2","HelpDesk","Full-Time",3,21857.1428571429,"M",0
"27 - 30","CABA","3 - 5","1 - 2","SysAdmin / DevOps","Full-Time",3,21428.5714285714,"M",0
"24 - 26","CABA","1 - 2","Menos de un año","HelpDesk","Full-Time",4,18571.4285714286,"M",0
"31 - 33","GBA","10+","1 - 2","HelpDesk","Full-Time",3,16428.5714285714,"M",1
"31 - 33","GBA","5 - 7","5 - 6","HelpDesk","Full-Time",3,9285.71428571429,"F",0
"27 - 30","CABA","3 - 5","2 - 3","SysAdmin / DevOps","Full-Time",3,28571.4285714286,"M",0
"24 - 26","CABA","5 - 7","2 - 3","Developer","Full-Time",3,34000,"M",0
"24 - 26","CABA","3 - 5","1 - 2","HelpDesk","Full-Time",3,19285.7142857143,"M",0
"21 - 23","Santa Fe","1 - 2","Menos de un año","SysAdmin / DevOps","Part-Time",3,6571.42857142857,"M",0
"18 - 20","CABA","Menos de un año","Menos de un año","Networking","Part-Time",3,7500,"M",0
"27 - 30","Tucuman","8 - 10","7 - 8","IT BOY","Part-Time",2,11428.5714285714,"M",0
"31 - 33","CABA","10+","1 - 2","HelpDesk","Full-Time",3,22857.1428571429,"M",0
"34 - 36","La Pampa","10+","10+","HelpDesk","Full-Time",4,20714.2857142857,"M",0
"21 - 23","Santa Fe","1 - 2","1 - 2","Designer","Part-Time",1,8571.42857142857,"M",0
"24 - 26","CABA","1 - 2","1 - 2","QA / Tester","Full-Time",1,13000,"M",0
"24 - 26","CABA","5 - 7","1 - 2","QA / Tester","Full-Time",4,27142.8571428571,"M",1
"21 - 23","CABA","1 - 2","1 - 2","Developer","Part-Time",2,12857.1428571429,"M",0
"24 - 26","CABA","5 - 7","2 - 3","Analista auditoría ","Full-Time",4,29500,"M",0
"27 - 30","CABA","1 - 2","1 - 2","Storage / Backup","Full-Time",3,24285.7142857143,"M",0
"21 - 23","CABA","1 - 2","1 - 2","Infosec","Full-Time",2,18571.4285714286,"M",0
"34 - 36","Entre Rios","3 - 5","3 - 4","HelpDesk","Full-Time",1,9000,"M",0
"31 - 33","Tucuman","10+","1 - 2","SysAdmin / DevOps","Full-Time",1,17785.7142857143,"M",0
"31 - 33","GBA","5 - 7","2 - 3","Analyst","Full-Time",4,29571.4285714286,"M",0
"21 - 23","GBA","3 - 5","2 - 3","CNC","Full-Time",2,18285.7142857143,"M",0
"21 - 23","CABA","3 - 5","1 - 2","HelpDesk","Full-Time",2,14000,"M",0
"37 - 40","CABA","10+","2 - 3","Analista de Sistemas","Full-Time",4,29000,"F",0
"37 - 40","Corrientes","10+","1 - 2","SysAdmin / DevOps","Full-Time",2,22000,"M",0
"27 - 30","GBA","5 - 7","1 - 2","HelpDesk","Full-Time",3,11370,"M",0
"31 - 33","CABA","5 - 7","3 - 4","QA / Tester","Full-Time",3,31200,"M",0
"27 - 30","CABA","8 - 10","3 - 4","NOC","Full-Time",3,28571.4285714286,"M",0
"18 - 20","GBA","3 - 5","1 - 2","Designer","Full-Time",2,9285.71428571429,"M",0
"41 - 45","CABA","10+","1 - 2","Developer","Freelance",3,40000,"M",0
"37 - 40","GBA","10+","10+","SysAdmin / DevOps","Full-Time",4,27000,"M",1
"27 - 30","GBA","3 - 5","3 - 4","HelpDesk","Part-Time",3,20000,"M",0
"27 - 30","CABA","5 - 7","Menos de un año","Ingeniero de HW ","Full-Time",4,33000,"M",1
"37 - 40","CABA","10+","3 - 4","Designer","Full-Time",4,25000,"M",0
"18 - 20","CABA","Menos de un año","Menos de un año","Developer","Part-Time",2,11428.5714285714,"M",1
"27 - 30","CABA","1 - 2","Menos de un año","Developer","Part-Time",4,17142.8571428571,"F",1
"34 - 36","Cordoba","10+","7 - 8","Developer","Full-Time",3,32142.8571428571,"M",0
"24 - 26","CABA","5 - 7","Menos de un año","SysAdmin / DevOps","Full-Time",4,17300,"M",0
"27 - 30","CABA","8 - 10","1 - 2","Networking","Full-Time",2,33750,"M",0
"27 - 30","CABA","5 - 7","5 - 6","Adm","Full-Time",1,13714.2857142857,"M",0
"24 - 26","CABA","1 - 2","1 - 2","SysAdmin / DevOps","Full-Time",2,12000,"M",0
"27 - 30","CABA","5 - 7","2 - 3","Developer","Part-Time",1,12857.1428571429,"M",0
"24 - 26","GBA","5 - 7","5 - 6","tecnico","Part-Time",3,13714.2857142857,"M",0
"24 - 26","CABA","8 - 10","1 - 2","Gerente de Tienda Fast Food","Full-Time",3,20400,"F",0
"21 - 23","GBA","Menos de un año","Menos de un año","Developer","Full-Time",3,14285.7142857143,"M",0
"24 - 26","CABA","Menos de un año","Menos de un año","Developer","Full-Time",4,16000,"M",0
"34 - 36","CABA","8 - 10","Menos de un año","Developer","Full-Time",3,32142.8571428571,"M",0
"34 - 36","CABA","10+","8 - 9","PM","Full-Time",3,34285.7142857143,"M",0
"27 - 30","CABA","5 - 7","3 - 4","operario textil","Full-Time",3,17142.8571428571,"M",0
"31 - 33","Santa Fe","5 - 7","1 - 2","Developer","Full-Time",4,23571.4285714286,"M",0
"24 - 26","Cordoba","3 - 5","Menos de un año","Developer","Full-Time",3,22857.1428571429,"M",0
"34 - 36","CABA","10+","9 - 10","Networking, soporte","Full-Time",2,21428.5714285714,"M",0
"31 - 33","GBA","3 - 5","2 - 3","HelpDesk","Full-Time",3,21428.5714285714,"M",0
"34 - 36","GBA","5 - 7","1 - 2","Designer","Part-Time",3,11428.5714285714,"M",0
"24 - 26","CABA","1 - 2","Menos de un año","Developer","Part-Time",2,12000,"M",0
"24 - 26","CABA","3 - 5","3 - 4","Networking","Full-Time",2,17142.8571428571,"M",0
"41 - 45","CABA","8 - 10","8 - 9","técnico","Full-Time",1,17142.8571428571,"M",0
"34 - 36","CABA","8 - 10","2 - 3","Incident Manager","Full-Time",1,15972.8571428571,"M",0
"21 - 23","CABA","3 - 5","2 - 3","Monitoreo","Full-Time",1,9714.28571428572,"M",0
"24 - 26","GBA","3 - 5","1 - 2","Consultoria","Full-Time",4,18000,"F",0
"18 - 20","CABA","Menos de un año","Menos de un año","QA / Tester","Part-Time",4,7000,"M",0
"31 - 33","Mendoza","5 - 7","Menos de un año","Developer","Full-Time",4,24285.7142857143,"M",1
"27 - 30","CABA","3 - 5","4 - 5","Developer","Full-Time",3,32700,"M",0
"27 - 30","GBA","5 - 7","Menos de un año","HelpDesk","Full-Time",3,16000,"M",1
"31 - 33","Santa Fe","3 - 5","2 - 3","SAP SD","Full-Time",2,18571.4285714286,"M",0
"27 - 30","Cordoba","8 - 10","7 - 8","SysAdmin / DevOps","Full-Time",3,25714.2857142857,"M",0
"18 - 20","Santa Fe","1 - 2","1 - 2","Reparacion de reclamos","Full-Time",1,15714.2857142857,"M",0
"27 - 30","Cordoba","3 - 5","2 - 3","HelpDesk","Full-Time",2,17142.8571428571,"M",0
"50+","CABA","10+","10+","Developer","Full-Time",3,25714.2857142857,"M",0
"27 - 30","Cordoba","3 - 5","3 - 4","PM","Full-Time",4,36878.5714285714,"M",0
"24 - 26","GBA","3 - 5","Menos de un año","BA","Full-Time",4,21428.5714285714,"F",1
"34 - 36","GBA","8 - 10","5 - 6","Soporte tecnico","Full-Time",3,22857.1428571429,"M",0
"34 - 36","CABA","8 - 10","8 - 9","Designer","Full-Time",2,23571.4285714286,"M",0
"24 - 26","CABA","5 - 7","2 - 3","DBA","Full-Time",2,25714.2857142857,"F",0
"24 - 26","Santa Fe","10+","Menos de un año","Networking","Full-Time",4,21428.5714285714,"M",1
"31 - 33","CABA","8 - 10","8 - 9","HelpDesk","Full-Time",3,12000,"M",0
"27 - 30","CABA","1 - 2","1 - 2","QA / Tester","Full-Time",3,19500,"M",1
"34 - 36","La Pampa","8 - 10","4 - 5","Storage / Backup","Full-Time",3,15000,"M",0
"24 - 26","GBA","Menos de un año","Menos de un año","Networking","Full-Time",1,14500,"M",0
"27 - 30","Santa Fe","5 - 7","5 - 6","Developer","Freelance",3,12000,"M",0
"24 - 26","Santa Fe","1 - 2","1 - 2","Ventas","Full-Time",4,30000,"M",0
"24 - 26","CABA","5 - 7","2 - 3","HelpDesk","Full-Time",4,13000,"M",0
"37 - 40","CABA","10+","10+","SysAdmin / DevOps","Part-Time",4,28571.4285714286,"M",0
"31 - 33","GBA","8 - 10","1 - 2","QA / Tester","Full-Time",3,20714.2857142857,"M",0
"31 - 33","GBA","5 - 7","6 - 7","PM","Part-Time",3,25714.2857142857,"M",0
"27 - 30","Cordoba","3 - 5","3 - 4","Networking","Full-Time",1,18428.5714285714,"M",0
"31 - 33","Santa Fe","10+","7 - 8","HelpDesk","Full-Time",3,32857.1428571429,"M",0
"34 - 36","GBA","10+","2 - 3","SysAdmin / DevOps","Full-Time",2,27142.8571428571,"M",0
"34 - 36","CABA","8 - 10","5 - 6","SysAdmin / DevOps","Full-Time",3,35714.2857142857,"M",0
"24 - 26","CABA","5 - 7","2 - 3","Soporte técnico ","Full-Time",3,22857.1428571429,"M",0
"27 - 30","CABA","10+","7 - 8","SysAdmin / DevOps","Full-Time",2,19800,"M",0
"21 - 23","Cordoba","1 - 2","Menos de un año","Developer","Full-Time",2,17142.8571428571,"M",0
"21 - 23","CABA","3 - 5","Menos de un año","SysAdmin / DevOps","Full-Time",2,27857.1428571429,"M",0
"21 - 23","GBA","1 - 2","1 - 2","Operario ","Full-Time",3,13000,"M",0
"41 - 45","CABA","10+","6 - 7","SysAdmin / DevOps","Full-Time",1,34285.7142857143,"M",0
"27 - 30","CABA","3 - 5","1 - 2","Seguridad","Full-Time",3,13200,"M",1
"37 - 40","GBA","10+","8 - 9","Arquitecto","Full-Time",3,29000,"M",0
"34 - 36","Cordoba","8 - 10","8 - 9","Costumer engineer","Full-Time",2,21428.5714285714,"M",0
"21 - 23","GBA","1 - 2","1 - 2","HelpDesk","Full-Time",1,14285.7142857143,"M",0
"24 - 26","La Pampa","1 - 2","Menos de un año","HelpDesk","Part-Time",4,16000,"M",0
"27 - 30","GBA","10+","Menos de un año","HelpDesk","Full-Time",4,21428.5714285714,"M",0
"34 - 36","CABA","10+","7 - 8"," ERP ","Full-Time",2,36428.5714285714,"F",0
"27 - 30","GBA","1 - 2","1 - 2","Developer","Full-Time",4,20000,"M",0
"27 - 30","CABA","5 - 7","1 - 2","HelpDesk","Full-Time",2,16428.5714285714,"M",0
"24 - 26","CABA","1 - 2","Menos de un año","HelpDesk","Full-Time",3,13500,"M",0
"21 - 23","Santiago del Estero","1 - 2","1 - 2","Admin","Part-Time",2,6142.85714285714,"M",0
"27 - 30","Cordoba","5 - 7","3 - 4","SysAdmin / DevOps","Full-Time",2,16428.5714285714,"M",0
"34 - 36","GBA","8 - 10","1 - 2","HelpDesk","Full-Time",2,23428.5714285714,"M",0
"21 - 23","CABA","1 - 2","Menos de un año","Oracle Tech Consultant","Full-Time",3,12800,"M",0
"41 - 45","Santa Fe","10+","10+","admin pyme","Full-Time",4,37142.8571428571,"M",0
"41 - 45","Santa Fe","10+","10+","admin pyme","Full-Time",4,37142.8571428571,"M",0
"21 - 23","Cordoba","1 - 2","1 - 2","Developer","Full-Time",1,10214.2857142857,"M",0
"31 - 33","Santa Fe","8 - 10","4 - 5","Developer","Part-Time",3,17142.8571428571,"F",0
"21 - 23","Cordoba","3 - 5","2 - 3","SysAdmin / DevOps","Part-Time",3,9285.71428571429,"M",0
"24 - 26","GBA","1 - 2","Menos de un año","Developer","Full-Time",5,32857.1428571429,"M",0
"24 - 26","GBA","5 - 7","5 - 6","Security Administrator","Full-Time",3,14200,"M",0
"31 - 33","Chubut","10+","10+","I ","Full-Time",4,57142.8571428571,"F",0
"37 - 40","GBA","8 - 10","6 - 7","HelpDesk","Part-Time",5,31428.5714285714,"M",0
"21 - 23","CABA","1 - 2","1 - 2","Programador BI","Full-Time",3,22857.1428571429,"M",0
"24 - 26","CABA","Menos de un año","Menos de un año","Developer","Full-Time",4,12500,"M",0
"27 - 30","CABA","8 - 10","7 - 8","SysAdmin / DevOps","Part-Time",1,13000,"F",0
"24 - 26","Cordoba","5 - 7","5 - 6","Programador","Full-Time",2,9000,"M",0
"27 - 30","GBA","8 - 10","1 - 2","HelpDesk","Full-Time",3,21428.5714285714,"M",1
"37 - 40","CABA","10+","2 - 3","SysAdmin / DevOps","Full-Time",3,41000,"M",0
"31 - 33","CABA","10+","5 - 6","SysAdmin / DevOps","Full-Time",2,40000,"M",0
"37 - 40","Salta","5 - 7","3 - 4","HelpDesk","Full-Time",2,20000,"M",0
"21 - 23","CABA","3 - 5","1 - 2","HelpDesk","Part-Time",4,11000,"M",0
"31 - 33","GBA","8 - 10","2 - 3","Developer","Full-Time",3,24285.7142857143,"M",1
"27 - 30","Cordoba","3 - 5","4 - 5","HelpDesk","Full-Time",1,8000,"M",1
"24 - 26","Entre Rios","3 - 5","1 - 2","Developer","Full-Time",2,21428.5714285714,"M",0
"31 - 33","CABA","3 - 5","4 - 5","operario","Full-Time",3,15714.2857142857,"M",0
"37 - 40","Chubut","8 - 10","7 - 8","Networking","Full-Time",3,42857.1428571429,"M",0
"34 - 36","GBA","8 - 10","2 - 3","Networking","Full-Time",4,28571.4285714286,"M",0
"27 - 30","CABA","Menos de un año","Menos de un año","Developer","Full-Time",1,12450,"M",0
"34 - 36","CABA","3 - 5","1 - 2","Infosec","Full-Time",1,10250,"F",0
"27 - 30","CABA","8 - 10","3 - 4","Developer","Part-Time",2,26285.7142857143,"M",0
"27 - 30","CABA","5 - 7","3 - 4","HelpDesk","Full-Time",4,20714.2857142857,"M",0
"24 - 26","CABA","1 - 2","1 - 2","Telefonía","Full-Time",2,20714.2857142857,"M",0
"21 - 23","CABA","3 - 5","1 - 2","Developer","Full-Time",3,14000,"M",0
"37 - 40","CABA","10+","Menos de un año","PM","Full-Time",4,28500,"M",0
"24 - 26","Cordoba","1 - 2","Menos de un año","Developer","Full-Time",2,15000,"M",1
"31 - 33","Tucuman","1 - 2","1 - 2","Developer","Full-Time",2,16000,"M",0
"34 - 36","CABA","10+","7 - 8","HelpDesk","Full-Time",3,26000,"M",0
"31 - 33","CABA","8 - 10","2 - 3","Developer","Part-Time",1,23035.7142857143,"M",0
"24 - 26","CABA","1 - 2","Menos de un año","consultoria sap","Full-Time",1,12094.2857142857,"M",1
"37 - 40","CABA","10+","4 - 5","Telefonía ","Part-Time",2,31428.5714285714,"M",0
"27 - 30","CABA","Menos de un año","Menos de un año","PM","Full-Time",4,50000,"M",0
"27 - 30","Santa Fe","8 - 10","1 - 2","Developer","Full-Time",3,34285.7142857143,"M",0
"18 - 20","GBA","1 - 2","1 - 2","SysAdmin / DevOps","Full-Time",1,8600,"M",0
"21 - 23","Cordoba","3 - 5","2 - 3","Developer","Full-Time",4,30000,"M",0
"31 - 33","CABA","5 - 7","3 - 4","QA / Tester","Full-Time",2,27142.8571428571,"M",0
"27 - 30","CABA","5 - 7","2 - 3","SysAdmin / DevOps","Full-Time",1,20000,"M",0
"31 - 33","GBA","10+","Menos de un año","Developer","Full-Time",4,28000,"M",1
"27 - 30","Tucuman","3 - 5","3 - 4","Developer","Full-Time",2,12428.5714285714,"F",0
"34 - 36","CABA","8 - 10","7 - 8","Developer","Full-Time",3,30000,"M",0
"27 - 30","CABA","3 - 5","Menos de un año","SysAdmin / DevOps","Full-Time",4,21428.5714285714,"M",0
"21 - 23","Cordoba","1 - 2","Menos de un año","HelpDesk","Part-Time",5,22857.1428571429,"F",0
"24 - 26","GBA","5 - 7","Menos de un año","HelpDesk","Full-Time",3,15000,"M",1
"37 - 40","CABA","10+","10+","DBA","Full-Time",4,48000,"M",0
"27 - 30","CABA","8 - 10","3 - 4","HelpDesk","Full-Time",3,19428.5714285714,"M",0
"27 - 30","CABA","3 - 5","1 - 2","SysAdmin / DevOps","Full-Time",3,25000,"M",0
"34 - 36","Mendoza","5 - 7","4 - 5","SysAdmin / DevOps","Full-Time",4,30000,"M",0
"21 - 23","CABA","Menos de un año","Menos de un año","Community manager","Full-Time",3,14285.7142857143,"F",1
"27 - 30","Cordoba","1 - 2","Menos de un año","Developer","Full-Time",3,13300,"M",1
"21 - 23","Corrientes","1 - 2","1 - 2","Developer","Freelance",4,18571.4285714286,"M",0
"27 - 30","GBA","5 - 7","1 - 2","Gerente de sistemas","Full-Time",4,39285.7142857143,"M",0
"27 - 30","Salta","5 - 7","2 - 3","HelpDesk","Part-Time",3,20000,"M",0
"24 - 26","CABA","5 - 7","1 - 2","QA / Tester","Full-Time",3,22142.8571428571,"M",0
"21 - 23","CABA","1 - 2","1 - 2","Developer","Part-Time",1,9285.71428571429,"M",0
"41 - 45","Mendoza","10+","10+","Developer","Full-Time",4,32142.8571428571,"F",0
"27 - 30","CABA","5 - 7","2 - 3","Developer","Full-Time",4,41000,"M",0
"27 - 30","CABA","3 - 5","Menos de un año","Consultor SAP","Full-Time",4,30000,"M",1
"27 - 30","GBA","1 - 2","1 - 2","Developer","Part-Time",3,20000,"M",0
"24 - 26","GBA","Menos de un año","Menos de un año","Developer","Full-Time",2,15714.2857142857,"M",0
"24 - 26","GBA","3 - 5","Menos de un año","Auxiliar","Part-Time",4,11857.1428571429,"M",0
"34 - 36","CABA","10+","2 - 3","PM","Part-Time",1,28285.7142857143,"M",0
"27 - 30","CABA","10+","1 - 2","HelpDesk","Full-Time",2,17142.8571428571,"M",0
"27 - 30","CABA","5 - 7","3 - 4","analista funcional ","Full-Time",3,32857.1428571429,"M",0
"27 - 30","CABA","3 - 5","2 - 3","Networking","Full-Time",2,29285.7142857143,"M",0
"24 - 26","Santa Fe","1 - 2","1 - 2","Developer","Full-Time",2,17142.8571428571,"M",0
"34 - 36","Santa Fe","10+","10+","Networking","Full-Time",3,25000,"M",0
"27 - 30","La Pampa","3 - 5","1 - 2","Developer","Full-Time",3,23571.4285714286,"M",0
"18 - 20","CABA","1 - 2","1 - 2","Developer","Full-Time",3,17714.2857142857,"M",0
"18 - 20","CABA","Menos de un año","Menos de un año","Developer","Part-Time",3,11142.8571428571,"M",0
"41 - 45","GBA","8 - 10","9 - 10","Networking","Full-Time",1,25714.2857142857,"M",0
"21 - 23","CABA","1 - 2","1 - 2","Developer","Full-Time",3,15000,"M",0
"31 - 33","GBA","10+","5 - 6","Product manager","Full-Time",3,47142.8571428571,"M",0
"24 - 26","GBA","3 - 5","1 - 2","HelpDesk","Full-Time",4,21714.2857142857,"F",0
"34 - 36","CABA","5 - 7","1 - 2","Developer","Full-Time",4,24000,"F",0
"27 - 30","Cordoba","5 - 7","3 - 4","Designer","Full-Time",3,28571.4285714286,"M",0
"34 - 36","Cordoba","10+","10+","Developer","Full-Time",4,35714.2857142857,"F",0
"24 - 26","CABA","1 - 2","Menos de un año","QA / Tester","Full-Time",3,20000,"M",1
"41 - 45","CABA","10+","2 - 3","Líder técnico ","Full-Time",3,36000,"M",0
"21 - 23","CABA","1 - 2","1 - 2","HelpDesk","Full-Time",3,15142.8571428571,"M",0
"27 - 30","GBA","3 - 5","Menos de un año","Developer","Full-Time",3,25714.2857142857,"M",1
"27 - 30","GBA","5 - 7","4 - 5","Infosec","Full-Time",3,32857.1428571429,"M",0
"31 - 33","Entre Rios","10+","7 - 8","Developer","Part-Time",3,17142.8571428571,"F",0
"27 - 30","CABA","3 - 5","3 - 4","Developer","Full-Time",5,28571.4285714286,"M",0
"27 - 30","CABA","1 - 2","1 - 2","BA","Full-Time",3,22857.1428571429,"M",0
"31 - 33","CABA","3 - 5","3 - 4","Consultor Ssr","Full-Time",1,20000,"F",0
"21 - 23","GBA","3 - 5","2 - 3","Developer","Part-Time",3,7857.14285714286,"M",0
"27 - 30","CABA","5 - 7","Menos de un año","AM","Full-Time",4,50000,"M",0
"37 - 40","CABA","10+","8 - 9","Networking","Full-Time",3,45714.2857142857,"M",0
"27 - 30","GBA","1 - 2","1 - 2","Developer","Full-Time",2,21428.5714285714,"M",0
"24 - 26","GBA","Menos de un año","Menos de un año","Developer","Full-Time",4,24800,"M",0
"27 - 30","GBA","3 - 5","1 - 2","Developer","Full-Time",2,27285.7142857143,"M",0
"21 - 23","Santa Fe","5 - 7","4 - 5","Developer","Part-Time",5,42000,"M",0
"24 - 26","CABA","3 - 5","2 - 3","Major accounts solution architect","Full-Time",3,16000,"M",0
"24 - 26","Entre Rios","3 - 5","4 - 5","administrativo","Part-Time",2,12000,"M",0
"31 - 33","CABA","8 - 10","3 - 4","Developer","Full-Time",3,26400,"M",0
"18 - 20","CABA","Menos de un año","Menos de un año","Developer","Part-Time",2,9485.71428571429,"M",0
"27 - 30","CABA","8 - 10","Menos de un año","Help desk, NetWorking, Storage / BackUp","Full-Time",3,17142.8571428571,"M",0
"27 - 30","GBA","5 - 7","2 - 3","Arquitecto","Full-Time",4,42857.1428571429,"M",0
"27 - 30","GBA","5 - 7","Menos de un año","Reparacion","Full-Time",3,17142.8571428571,"F",0
"24 - 26","CABA","5 - 7","5 - 6","Developer","Full-Time",2,28280,"M",1
"27 - 30","GBA","3 - 5","1 - 2","PM","Full-Time",3,33000,"M",1
"24 - 26","Tucuman","5 - 7","1 - 2","Developer","Full-Time",5,42857.1428571429,"M",1
"27 - 30","GBA","8 - 10","7 - 8","Developer","Full-Time",2,28285.7142857143,"M",0
"27 - 30","CABA","3 - 5","4 - 5","QA / Tester","Full-Time",2,21428.5714285714,"M",0
"24 - 26","CABA","1 - 2","1 - 2","SysAdmin / DevOps","Full-Time",3,23571.4285714286,"M",0
"21 - 23","CABA","1 - 2","1 - 2","Developer","Full-Time",3,15714.2857142857,"M",0
"21 - 23","CABA","3 - 5","Menos de un año","Developer","Full-Time",4,30000,"M",0
"21 - 23","Santa Fe","Menos de un año","Menos de un año","Developer","Full-Time",3,11000,"M",0
"37 - 40","CABA","10+","7 - 8","Implementations / functional analysis ","Full-Time",3,25714.2857142857,"F",0
"37 - 40","CABA","10+","10+","DBA","Full-Time",1,17336,"M",0
"27 - 30","CABA","1 - 2","1 - 2","DBA","Full-Time",3,20000,"M",0
"21 - 23","CABA","3 - 5","1 - 2","HelpDesk","Full-Time",3,15428.5714285714,"M",1
"37 - 40","Mendoza","10+","1 - 2","Developer","Full-Time",1,33000,"M",0
"21 - 23","Santa Fe","3 - 5","1 - 2","Developer","Full-Time",4,20000,"M",0
"24 - 26","Santa Fe","3 - 5","1 - 2","Developer","Full-Time",2,28571.4285714286,"M",0
"27 - 30","CABA","8 - 10","6 - 7","Storage / Backup","Full-Time",4,53000,"M",0
"27 - 30","Santa Fe","1 - 2","1 - 2","PM","Full-Time",3,25714.2857142857,"M",0
"34 - 36","CABA","8 - 10","8 - 9","IT manager","Full-Time",3,33500,"M",0
"24 - 26","CABA","8 - 10","3 - 4","Storage / Backup","Full-Time",2,1e+05,"F",0
"27 - 30","CABA","10+","Menos de un año","Developer","Full-Time",2,40000,"M",0
"37 - 40","Cordoba","3 - 5","3 - 4","Soporte N2","Full-Time",1,18571.4285714286,"M",0
"24 - 26","GBA","5 - 7","2 - 3","Developer","Full-Time",4,27000,"M",0
"21 - 23","CABA","3 - 5","2 - 3","DBA","Full-Time",5,33000,"M",0
"31 - 33","Santa Fe","10+","Menos de un año","HelpDesk","Full-Time",3,21428.5714285714,"M",0
"50+","GBA","10+","10+","Networking","Full-Time",2,19000,"M",0
"27 - 30","CABA","5 - 7","2 - 3","Seguridad informática","Full-Time",4,57142.8571428571,"M",0
"24 - 26","CABA","Menos de un año","Menos de un año","Developer","Full-Time",3,12000,"M",0
"31 - 33","CABA","3 - 5","2 - 3","HelpDesk","Full-Time",4,28571.4285714286,"M",0
"31 - 33","CABA","8 - 10","5 - 6","SysAdmin / DevOps","Full-Time",4,39000,"M",0
"31 - 33","CABA","10+","2 - 3","Developer","Full-Time",4,40300,"M",0
"24 - 26","Santa Fe","5 - 7","1 - 2","SysAdmin / DevOps","Full-Time",3,20000,"M",0
"37 - 40","GBA","8 - 10","10+","HelpDesk","Full-Time",2,11428.5714285714,"M",0
"27 - 30","CABA","3 - 5","2 - 3","Developer","Full-Time",4,28571.4285714286,"M",0
"41 - 45","GBA","10+","2 - 3","SysAdmin / DevOps","Full-Time",3,36428.5714285714,"M",0
"34 - 36","CABA","10+","3 - 4","PM","Full-Time",4,50000,"M",0
"37 - 40","CABA","10+","1 - 2","Designer","Full-Time",2,25000,"M",0
"21 - 23","GBA","3 - 5","3 - 4","HelpDesk","Part-Time",3,7498.57142857143,"M",0
"24 - 26","Santa Fe","3 - 5","1 - 2","Developer","Full-Time",2,19285.7142857143,"M",0
"27 - 30","CABA","8 - 10","3 - 4","Consultor ","Full-Time",3,30000,"M",0
"24 - 26","GBA","Menos de un año","Menos de un año","HelpDesk","Full-Time",2,12857.1428571429,"M",1
"24 - 26","CABA","1 - 2","Menos de un año","Developer","Full-Time",3,11700,"M",0
"27 - 30","CABA","3 - 5","1 - 2","Developer","Full-Time",3,28571.4285714286,"F",0
"24 - 26","CABA","3 - 5","1 - 2","HelpDesk","Full-Time",2,13000,"F",0
"31 - 33","GBA","8 - 10","Menos de un año","HelpDesk","Full-Time",3,17400,"M",0
"24 - 26","CABA","8 - 10","Menos de un año","HelpDesk","Full-Time",4,48000,"M",1
"41 - 45","GBA","10+","10+","SysAdmin / DevOps","Full-Time",4,30000,"M",0
"21 - 23","CABA","3 - 5","Menos de un año","Developer","Full-Time",3,26000,"M",1
"24 - 26","GBA","1 - 2","1 - 2","Developer","Full-Time",3,28571.4285714286,"M",0
"31 - 33","GBA","3 - 5","1 - 2","HelpDesk","Full-Time",1,20000,"M",0
"18 - 20","GBA","Menos de un año","Menos de un año","SysAdmin / DevOps","Part-Time",1,14285.7142857143,"M",0
"21 - 23","GBA","1 - 2","1 - 2","tecnico","Full-Time",3,20792.8571428571,"M",0
"21 - 23","CABA","1 - 2","1 - 2","Developer","Part-Time",3,9000,"M",0
"31 - 33","CABA","8 - 10","1 - 2","SysAdmin / DevOps","Full-Time",1,42857.1428571429,"M",0
"27 - 30","CABA","5 - 7","3 - 4","SysAdmin / DevOps","Full-Time",4,28571.4285714286,"M",0
"27 - 30","Formosa","8 - 10","4 - 5","SysAdmin / DevOps","Full-Time",2,20000,"M",0
